mpan,record_id,notification_creation_date,fault_description,msn
1012345706783,1012345706783 - E15Z012703,03/09/2024,COMMS FAULT: GSM Comms goes to recorded message. Comms Mode Outbound using Telephone 07713225621. Last stored data 30/08/2024. SSIL NHH Contact: Jane Lewis,E15Z012703
1012345783148,1012345783148 - P10A10466,03/10/2024,"COMMS FAULT: Failed to collect data from meter, please raise with ASL if required Comms Mode TCP/IP using IP address / Socket Port 192.168.8.9:19063. Last stored data 20/07/2024. SSIL NHH Contact: Samuel Dickinson",P10A10466
1012346094563,1012346094563 - E12Z006267,26/08/2023,COMMS FAULT - Re raise. GSM Comms goes to recorded message. Current Comms Mode is Outbound using Telephone 07901889816. Last Stored Data: 11-MAY-23. CLI-KAM-TIN 01293 776747 ext 309,E12Z006267
1012346119400,1012346119400 - E11Z16068,25/10/2024,COMMS FAULT: GSM Comms drops connection. Comms Mode Outbound using Telephone 07409188017. Last stored data 03/09/2024. SSIL NHH Contact: Samuel Dickinson,E11Z16068
1012346121701,1012346121701 - E12Z010541,07/06/2024,COMMS FAULT: GSM Comms is out of service. Comms Mode Outbound using Telephone 07803666065. Last Stored Data 30/03/2021. SSIL NHH Contact: Matthew Taylor,E12Z010541
1012346130900,1012346130900 - EML2301928,08/08/2024,MTD FAULT: SSC in MTDs suggest meter is 2 rate but data is only being collected on 02 Comms Mode TCP/IP using IP address / Socket Port 192.168.8.21:11290. Last stored data 30/01/2024. SSIL NHH Contact: Joe Casebow,EML2301928
1012346134357,1012346134357 - E12Z010708,01/10/2024,COMMS FAULT: Failed to collect data from meter Comms Mode UDP using IP address / Socket Port 10.29.84.94:10000. Last stored data 26/05/2024. SSIL NHH Contact: Samuel Dickinson,E12Z010708
1012347010884,1012347010884 - E15Z004376,14/10/2024,COMMS FAULT: Failed to collect data from meter Comms Mode UDP using IP address / Socket Port 10.9.35.3:9876. Last stored data 28/10/2021. SSIL NHH Contact: Nicole Barnes,E15Z004376
1012347389698,1012347389698 - E12Z038554,07/06/2024,COMMS FAULT: GSM Comms goes to recorded message. Comms Mode Outbound using Telephone 07720008390. Last Stored Data 03/06/2024. SSIL NHH Contact: Matthew Taylor,E12Z038554
1012349119750,1012349119750 - E07BG12816,12/03/2024,COMMS FAULT: GSM Comms goes to a recorded message. Current Comms Mode is Outbound using Telephone 07500811465. Last Stored Data: 01-APR-70. SSIL NHH Contact: Matthew Taylor,E07BG12816
1012349160002,1012349160002 - E12Z021489,25/10/2024,COMMS FAULT: GSM Comms is switched off. Comms Mode Outbound using Telephone 07901889519. Last stored data 21/12/2022. SSIL NHH Contact: Samuel Dickinson,E12Z021489
1012349174724,1012349174724 - E12Z056720,08/08/2024,COMMS FAULT: GSM Comms goes to recorded message. Comms Mode Outbound using Telephone 07720050391. Last stored data 23/08/2021. SSIL NHH Contact: Ben Brant,E12Z056720
1012351379042,1012351379042 - E14Z000128,29/08/2023,COMMS FAULT - Re raise. Unable to connect to meter. Please keep D1 open until fault resolved. Current Comms Mode is Outbound using Telephone 07554916359. Last Stored Data: 17-AUG-23. CLI-KAM-TIN 01293 776747 ext 309,E14Z000128
1012355707640,1012355707640 - E12Z055326,18/12/2023,COMMS FAULT - GSM comms goes to recorded message. Current Comms Mode is Outbound using Telephone 07921787719. Last Stored Data: 12-DEC-23. ITOPIC 01293 776747 ext,E12Z055326
