mpan,TOTAL (A),TOTAL (E),eac
1200010251498,0,8240979.5,187294.9886
1200050376911,22442492.5,4832620.9,619888.9409
2000056580947,0,3283999.8,74636.35909
2000056580956,0,3276680.2,74470.00455
1900091632775,0,3046824.5,69246.01136
1200050376902,8659571,2703276.4,258246.5318
1600000134831,0,2608208.4,59277.46364
1800054748380,271744.6,1947312.5,50433.11591
1200010127053,0,1607799.1,36540.88864
1200010197910,1697996,1258318.3,67188.96136
1050000907391,3962259.1,1177098.8,116803.5886
1200010200926,22391887,1166612.3,535420.4386
1050000907443,3791005.5,1126635.7,111764.5727
1050000907416,3864215.8,1023817.3,111091.6614
1460002174923,0,940578.6,21376.78636
2000051820710,746720.7,911970.3,37697.52273
1200010091099,0,887863.3,20178.71136
1200060721710,0,716132.3,16275.73409
1300035356380,1260436.6,691353.1,44358.85682
2200040979321,0,637313.1,14484.38864
2000027496071,0,589824.1,13405.09318
1428790100009,0,558919.8,12702.72273
1014573022410,141167.8,532944.9,15320.74318
2200030348470,1673572.1,524057.1,49946.11818
2000050505466,0,508166,11549.22727
2199989677260,0,482613.3,10968.48409
2380000428846,31916.9,470095.4,11409.37045
1100039647802,164792.5,451792.2,14013.28864
1200060529832,164566.9,449600.6,13958.35227
1200010197983,225358.2,446129.7,15261.08864
1460002081358,0,436230.7,9914.334091
1460001932445,0,434188.1,9867.911364
1100039669044,4244249.9,418463.1,105970.75
1470000017668,0,411992.6,9363.468182
1460001521980,0,406570.5,9240.238636
1014572583575,0,395339.9,8984.997727
2000055558597,0,386066.3,8774.234091
1023506733013,0,337393.2,7668.027273
1422093500008,972691.9,320265.8,29385.40227
1100039660496,30404.4,317230.8,7900.8
2000027849449,0,315502.5,7170.511364
1900070375213,24634.1,302019,7423.934091
1200010257579,0,301112.8,6843.472727
2000055580538,0,296931.4,6748.440909
1712002892151,0,291332.1,6621.184091
2000060022573,867353.9,281075.3,26100.66364
1200051323752,58333.2,264970.9,7347.820455
1023478133661,1113564.1,263016.9,31285.93182
1014572779535,0,261214.3,5936.688636
1030062915127,80632.6,261200.8,7768.940909
1200060563968,95940.9,260204.2,8094.206818
1716122121604,0,256372.1,5826.638636
1640000033429,0,254445.2,5782.845455
1592001110712,0,253153.9,5753.497727
1014572607260,0,250588.1,5695.184091
2380001817655,112580.5,246427.6,8159.275
1300035351735,0,234884.8,5338.290909
1200061223577,0,234065.3,5319.665909
1800060351512,0,228446.1,5191.956818
1200010179159,0,227712,5175.272727
1200060316859,0,227588.4,5172.463636
2000051041436,0,227505.6,5170.581818
1592008352508,0,218564.7,4967.379545
1640000111680,0,215641.1,4900.934091
2356562890019,0,209458.8,4760.427273
1200061989615,0,208550.6,4739.786364
1800054856059,93327.9,201537.4,6701.484091
1030052944859,0,200628.2,4559.731818
1014569292506,0,192816.2,4382.186364
2000027362369,0,192177.6,4367.672727
1200050826391,108202.9,191892.9,6820.359091
2000027476767,58099,186578.2,5560.845455
1100039658024,0,185203,4209.159091
1900060048923,0,184841.6,4200.945455
2000051063500,0,184818.8,4200.427273
1800060622770,213925.1,178753.3,8924.509091
1200060351932,0,178102.3,4047.779545
1630000825760,356596.9,177883,12147.27045
1421307100005,53155,175263.8,5191.336364
